"site_plotID","site","plot","community","Xmin","Ymin","Xmax","Ymax","altitude"
"1_1",1,1,"Ettenhausen",258000,710000,260000,712000,537
"2_1",2,1,"Zürich",248000,684000,250000,686000,668
"3_1",3,1,"Payerne",184000,562000,186000,564000,488
"4_1",4,1,"Conthey",116000,588000,118000,590000,478
"5_1",5,1,"La Neuveville",214000,576000,216000,578000,475
"6_1",6,1,"Grindelwald",162000,638000,164000,640000,1915
"7_1",7,1,"Oberstammheim",276000,702000,278000,704000,581
"8_1",8,1,"Rothenfluh",258000,636000,260000,638000,695
"9_1",9,1,"Binningen",264000,610000,266000,612000,324
"10_1",10,1,"Gais",248000,750000,250000,752000,935
"11_1",11,1,"La Sarraz",166000,528000,168000,530000,515
"12_1",12,1,"Aristau",238000,670000,240000,672000,380
"13_1",13,1,"Wiedlisbach",232000,614000,234000,616000,455
"14_1",14,1,"Dübendorf",248000,686000,250000,688000,440
"15_1",15,1,"Ins",204000,574000,206000,576000,433
"16_1",16,1,"Mühlebach",140000,654000,142000,656000,1220
"17_1",17,1,"Niedermuhlern",188000,600000,190000,602000,945
"18_1",18,1,"Langenthal",228000,628000,230000,630000,525
"19_1",19,1,"Wettingen",258000,668000,260000,670000,685
"20_1",20,1,"Roggwil",262000,746000,264000,748000,460
"21_1",21,1,"Köniz",196000,598000,198000,600000,565
"22_1",22,1,"Staffelbach",234000,644000,236000,646000,675
"23_1",23,1,"Möhlin",268000,632000,270000,634000,343
"24_1",24,1,"Niederlenz",250000,654000,252000,656000,387
"25_1",25,1,"Schleitheim",288000,680000,290000,682000,545
"26_1",26,1,"Avully",112000,488000,114000,490000,428
"27_1",27,1,"Jussy",120000,510000,122000,512000,505
"28_1",28,1,"Leuggern",268000,656000,270000,658000,465
"29_1",29,1,"Eschenbach",218000,666000,220000,668000,450
"30_1",30,1,"Ebikon",214000,668000,216000,670000,635
"31_1",31,1,"Coffrane",206000,556000,208000,558000,770
"32_1",32,1,"La Brévine",200000,532000,202000,534000,1215
"33_1",33,1,"Mollis",218000,724000,220000,726000,431
"34_1",34,1,"Elm",198000,728000,200000,730000,1880
"35_1",35,1,"Le Cerneux-Pequignot",206000,540000,208000,542000,1093
"36_1",36,1,"Hochdorf",222000,664000,224000,666000,500
"37_1",37,1,"Ependes",178000,576000,180000,578000,735
"38_1",38,1,"Koppigen",218000,612000,220000,614000,478
"39_1",39,1,"Kiesen",186000,610000,188000,612000,534
"40_1",40,1,"St. Cierges",170000,546000,172000,548000,851
"41_1",41,1,"Kyburg-Buchegg",220000,606000,222000,608000,464
"42_1",42,1,"Galmwald",196000,580000,198000,582000,580
"42_2",42,2,"Galmwald",196000,580000,198000,582000,580
"43_1",43,1,"Orbe",176000,526000,178000,528000,622
"44_1",44,1,"Hendschiken",248000,658000,250000,660000,417
"45_1",45,1,"Alpthal",210000,696000,212000,698000,1180
"46_1",46,1,"Vallon",190000,562000,192000,564000,439
"47_1",47,1,"Davos",186000,784000,188000,786000,1655
"48_1",48,1,"Oberriet",248000,762000,250000,764000,409
"49_1",49,1,"Unterschächen",190000,700000,192000,702000,1100
"50_1",50,1,"Realp",156000,680000,158000,682000,2120
"51_1",51,1,"Wartau",218000,756000,220000,758000,464
"52_1",52,1,"Krummenau",234000,740000,236000,742000,1338
"53_1",53,1,"Gempen",258000,616000,260000,618000,626
"54_1",54,1,"Zuzwil",210000,602000,212000,604000,557
"55_1",55,1,"Nyon",138000,506000,140000,508000,440
"56_1",56,1,"Trub",200000,634000,202000,636000,998
"57_1",57,1,"St. Stephan",150000,596000,152000,598000,1030
"58_1",58,1,"Mels",210000,748000,212000,750000,910
"59_1",59,1,"Dällikon",254000,674000,256000,676000,425
"59_2",59,2,"Dällikon",254000,674000,256000,676000,425
"60_1",60,1,"Entlebuch",208000,650000,210000,652000,955
"61_1",61,1,"Winterthur",262000,696000,264000,698000,445
"62_1",62,1,"Bettlach",230000,598000,232000,600000,1065
"63_1",63,1,"Oensingen",236000,622000,238000,624000,450
"64_1",64,1,"Duggingen",256000,612000,258000,614000,375
"65_1",65,1,"Cornol",252000,578000,254000,580000,482
"66_1",66,1,"St. Ursanne",242000,578000,244000,580000,540
"67_1",67,1,"Mathod",176000,534000,178000,536000,432
"68_1",68,1,"Etoy",148000,522000,150000,524000,435
"69_1",69,1,"Attalens",150000,554000,152000,556000,818
"70_1",70,1,"Disentis",172000,708000,174000,710000,1105
"71_1",71,1,"Lohn",168000,750000,170000,752000,1818
"72_1",72,1,"Bivio",144000,770000,146000,772000,2118
"73_1",73,1,"Alvaneu",172000,770000,174000,772000,1560
"74_1",74,1,"Mörschwil",258000,750000,260000,752000,526
"75_1",75,1,"Zernez",168000,812000,170000,814000,2400
"76_1",76,1,"Sent",190000,822000,192000,824000,1690
"77_1",77,1,"Paspels",178000,752000,180000,754000,830
"78_1",78,1,"Igis-Landquart",202000,762000,204000,764000,532
"79_1",79,1,"Pailly",172000,540000,174000,542000,684
"80_1",80,1,"Chevenez",250000,566000,252000,568000,538
"81_1",81,1,"Gsteig",134000,584000,136000,586000,1355
"82_1",82,1,"Kappelen",214000,588000,216000,590000,441
"83_1",83,1,"Wald",238000,708000,240000,710000,1040
"84_1",84,1,"Rifferswil",232000,680000,234000,682000,597
"85_1",85,1,"Frauenfeld",270000,708000,272000,710000,383
"86_1",86,1,"Lützelflüh",204000,618000,206000,620000,618
"87_1",87,1,"Klarsreuti",272000,732000,274000,734000,559
"88_1",88,1,"L`Abbaye",162000,512000,164000,514000,1358
"89_1",89,1,"St. Moritz",150000,784000,152000,786000,1825
"90_1",90,1,"Sta. Maria i.C.",124000,730000,126000,732000,1245
"91_1",91,1,"Campo",126000,680000,128000,682000,1517
"92_1",92,1,"Novaggio",98000,708000,100000,710000,1080
"92_2",92,2,"Novaggio",98000,708000,100000,710000,1080
"93_1",93,1,"Marthalen",276000,690000,278000,692000,405
"94_1",94,1,"S. Antonino",112000,716000,114000,718000,209
"95_1",95,1,"Coldrerio",78000,720000,80000,722000,336
"96_1",96,1,"Gudo",114000,714000,116000,716000,265
"97_1",97,1,"Lugano",94000,716000,96000,718000,273
"98_1",98,1,"Erstfeld",188000,690000,190000,692000,455
"99_1",99,1,"Visp",126000,632000,128000,634000,830
"100_1",100,1,"St. Martin",110000,602000,112000,604000,2340
"101_1",101,1,"Chamoson",116000,582000,118000,584000,730
"102_1",102,1,"Vouvry",130000,558000,132000,560000,379
"103_1",103,1,"Härkingen",240000,628000,242000,630000,431
"104_1",104,1,"Küssnacht",212000,676000,214000,678000,1025
"105_1",105,1,"Neuchâtel",210000,564000,212000,566000,1138
"106_1",106,1,"Vétroz",118000,588000,120000,590000,500
