"station_id","pollutant_id","aggregation_id","year","value","unit_id","value_remark"
"blBAS","so2","annualmean",1984,31.90,"µg/m3","incomplete series"
"blBAS","so2","annualmean",1985,40.20,"µg/m3","incomplete series"
"blBAS","so2","annualmean",1986,33.60,"µg/m3","incomplete series"
"blBAS","so2","annualmean",1987,33.00,"µg/m3","incomplete series"
"blBAS","so2","annualmean",1988,17.40,"µg/m3",
"blBAS","so2","annualmean",1989,18.50,"µg/m3",
"blBAS","so2","annualmean",1990,14.10,"µg/m3",
"blBAS","so2","annualmean",1991,13.60,"µg/m3",
"blBAS","so2","annualmean",1992,11.00,"µg/m3",
"blBAS","so2","annualmean",1993,9.20,"µg/m3",
"blBAS","so2","annualmean",1994,6.70,"µg/m3",
"blBAS","so2","annualmean",1995,7.20,"µg/m3",
"blBAS","so2","annualmean",1996,7.20,"µg/m3",
"blBAS","so2","annualmean",1997,7.30,"µg/m3",
"blBAS","so2","annualmean",1998,7.10,"µg/m3",
"blBAS","so2","annualmean",1999,5.40,"µg/m3",
"blBAS","so2","annualmean",2000,4.70,"µg/m3",
"blBAS","so2","annualmean",2001,4.40,"µg/m3",
"blBAS","so2","annualmean",2002,6.10,"µg/m3",
"blBAS","so2","annualmean",2003,5.40,"µg/m3",
"blBAS","so2","annualmean",2004,3.70,"µg/m3",
"blBAS","so2","annualmean",2005,4.30,"µg/m3",
"blBAS","so2","annualmean",2006,4.40,"µg/m3",
"blBAS","so2","annualmean",2007,3.20,"µg/m3",
"blBAS","so2","annualmean",2008,3.40,"µg/m3",
"blBAS","so2","annualmean",2009,2.60,"µg/m3",
"blBAS","so2","annualmean",2010,2.80,"µg/m3",
"blBAS","so2","annualmean",2011,2.40,"µg/m3",
"blBAS","so2","annualmean",2012,1.90,"µg/m3",
"blBAS","so2","annualmean",2013,1.60,"µg/m3",
"blBAS","so2","annualmean",2014,1.50,"µg/m3",
"neCHA","so2","annualmean",1991,3.90,"µg/m3","incomplete series"
"neCHA","so2","annualmean",1992,3.00,"µg/m3",
"neCHA","so2","annualmean",1993,2.90,"µg/m3",
"neCHA","so2","annualmean",1994,2.60,"µg/m3",
"neCHA","so2","annualmean",1995,2.50,"µg/m3",
"neCHA","so2","annualmean",1996,2.60,"µg/m3",
"neCHA","so2","annualmean",1997,1.20,"µg/m3",
"neCHA","so2","annualmean",1998,1.30,"µg/m3",
"neCHA","so2","annualmean",1999,1.20,"µg/m3",
"neCHA","so2","annualmean",2000,0.90,"µg/m3",
"neCHA","so2","annualmean",2001,1.10,"µg/m3",
"neCHA","so2","annualmean",2002,1.00,"µg/m3",
"neCHA","so2","annualmean",2003,1.40,"µg/m3",
"neCHA","so2","annualmean",2004,1.00,"µg/m3",
