"station_id","station_name","station_measuring_network","station_kanton","station_y","station_x","station_altitude","station_type_de","station_type_of_area_de"
"agAAR","Aarau","AG","AG",646350.00,249400.00,383.00,"Verkehr","Städtisch"
"agBAD","Baden-Schönaustrasse","AG","AG",666075.00,257972.00,377.00,"Hintergrund","Städtisch"
"agBSP","Baden-Schulhausplatz","AG","AG",665450.00,258200.00,383.00,"Verkehr","Städtisch"
"agLAE","Lägeren","NABEL","AG",669780.00,259020.00,689.00,"Hintergrund","Ländlich"
"agMUR","Muri","IAP","AG",669375.00,236265.00,470.00,"Hintergrund","Ländlich"
"agSDM","Suhr-Distelmatte","AG","AG",647225.00,246400.00,400.00,"Hintergrund","Ländlich"
"agSLN","Sisseln","AG","AG",640730.00,266215.00,305.00,"Hintergrund","Ländlich"
"agSUH","Suhr-Bärenmatte","AG","AG",648490.00,246985.00,403.00,"Verkehr","Vorstädtisch"
"arHEI","Heiden-Dunanthaus","AR","AR",757825.00,256790.00,795.00,"Hintergrund","Ländlich"
"beBAE","Bärau","BE","BE",628600.00,197900.00,765.00,"Hintergrund","Ländlich"
"beBER","Bern-Bollwerk","NABEL","BE",600170.00,199990.00,536.00,"Verkehr","Städtisch"
"beBIE","Biel-Bienne","BE","BE",586025.00,221660.00,455.00,"Hintergrund","Städtisch"
"beBIG","Biel-Göuffi","BE","BE",585616.00,221393.00,440.00,"Verkehr","Städtisch"
"beBRZ","Bern-Brunngasshalde","BE","BE",600833.00,199785.00,533.00,"Verkehr","Städtisch"
"beBWD","Bern-Wankdorf","BE","BE",602040.00,201565.00,555.00,"Verkehr","Vorstädtisch"
"beBWP","Bern-Bollwerkpasserelle","NABEL","BE",600140.00,199905.00,538.00,"Verkehr","Städtisch"
"beETZ","Etzelkofen","BE","BE",602935.00,214890.00,530.00,"Hintergrund","Ländlich"
"beFRU","Frutigen","BE","BE",615932.00,159732.00,795.00,"Hintergrund","Ländlich"
"beINT","Interlaken","BE","BE",632680.00,170555.00,585.00,"Hintergrund","Vorstädtisch"
"beITT","Ittigen","BE","BE",603050.00,202815.00,550.00,"Hintergrund","Vorstädtisch"
"beJUN","Jungfraujoch","NABEL","BE",641910.00,155280.00,3580.00,"Hintergrund","Hochgebirge"
"beLAN","Langenthal","BE","BE",626340.00,228935.00,490.00,"Hintergrund","Vorstädtisch"
"beTHB","Thun-Bälliz","BE","BE",614380.00,178750.00,560.00,"Hintergrund","Städtisch"
"beTHP","Thun-Pestalozzi","BE","BE",614075.00,178160.00,561.00,"Hintergrund","Vorstädtisch"
"beWEN","Wengernalp","IAP","BE",637750.00,158300.00,1890.00,"Hintergrund","Ländlich"
"beWNG","Wengen","BE","BE",636900.00,161800.00,1275.00,"Hintergrund","Ländlich"
"beZIM","Zimmerwald","BE","BE",602015.00,191760.00,898.00,"Hintergrund","Ländlich"
"beZOL","Zollikofen","BE","BE",601095.00,205020.00,562.00,"Hintergrund","Vorstädtisch"
"blAES","Aesch","BL","BL",610375.00,258750.00,353.00,"Hintergrund","Ländlich"
"blBAS","Basel-Binningen","NABEL","BL",610890.00,265605.00,316.00,"Hintergrund","Vorstädtisch"
