"site_plotID","landuse","parameter","samplingdate","year","surveyNr","value","unit","remark"
"1_1","grasslandintensiv","Cd",17.10.1989 00:00:00,1989,"1",0.30,"mg_kg_dm",
"1_1","grasslandintensiv","Cd",13.9.1994 00:00:00,1994,"2",0.31,"mg_kg_dm",
"1_1","grasslandintensiv","Cd",3.3.1999 00:00:00,1999,"3",0.29,"mg_kg_dm",
"1_1","grasslandintensiv","Cd",15.4.2004 00:00:00,2004,"4",0.33,"mg_kg_dm",
"1_1","grasslandintensiv","Cd",18.3.2009 00:00:00,2009,"5",0.32,"mg_kg_dm",
"1_1","grasslandintensiv","Co",17.10.1989 00:00:00,1989,"1",7.59,"mg_kg_dm",
"1_1","grasslandintensiv","Co",13.9.1994 00:00:00,1994,"2",6.94,"mg_kg_dm",
"1_1","grasslandintensiv","Co",3.3.1999 00:00:00,1999,"3",7.41,"mg_kg_dm",
"1_1","grasslandintensiv","Co",15.4.2004 00:00:00,2004,"4",7.85,"mg_kg_dm",
"1_1","grasslandintensiv","Co",18.3.2009 00:00:00,2009,"5",7.74,"mg_kg_dm",
"1_1","grasslandintensiv","Cr",17.10.1989 00:00:00,1989,"1",44.43,"mg_kg_dm",
"1_1","grasslandintensiv","Cr",13.9.1994 00:00:00,1994,"2",47.00,"mg_kg_dm",
"1_1","grasslandintensiv","Cr",3.3.1999 00:00:00,1999,"3",44.10,"mg_kg_dm",
"1_1","grasslandintensiv","Cr",15.4.2004 00:00:00,2004,"4",45.85,"mg_kg_dm",
"1_1","grasslandintensiv","Cr",18.3.2009 00:00:00,2009,"5",45.29,"mg_kg_dm",
"1_1","grasslandintensiv","Cu",17.10.1989 00:00:00,1989,"1",29.68,"mg_kg_dm",
"1_1","grasslandintensiv","Cu",13.9.1994 00:00:00,1994,"2",29.25,"mg_kg_dm",
"1_1","grasslandintensiv","Cu",3.3.1999 00:00:00,1999,"3",31.04,"mg_kg_dm",
"1_1","grasslandintensiv","Cu",15.4.2004 00:00:00,2004,"4",31.67,"mg_kg_dm",
"1_1","grasslandintensiv","Cu",18.3.2009 00:00:00,2009,"5",32.03,"mg_kg_dm",
"1_1","grasslandintensiv","Hg",17.10.1989 00:00:00,1989,"1",0.10,"mg_kg_dm",
"1_1","grasslandintensiv","Hg",13.9.1994 00:00:00,1994,"2",0.10,"mg_kg_dm",
"1_1","grasslandintensiv","Hg",3.3.1999 00:00:00,1999,"3",0.10,"mg_kg_dm",
"1_1","grasslandintensiv","Hg",15.4.2004 00:00:00,2004,"4",0.09,"mg_kg_dm",
"1_1","grasslandintensiv","Hg",18.3.2009 00:00:00,2009,"5",0.09,"mg_kg_dm",
"1_1","grasslandintensiv","Ni",17.10.1989 00:00:00,1989,"1",43.24,"mg_kg_dm",
"1_1","grasslandintensiv","Ni",13.9.1994 00:00:00,1994,"2",44.31,"mg_kg_dm",
"1_1","grasslandintensiv","Ni",3.3.1999 00:00:00,1999,"3",43.63,"mg_kg_dm",
"1_1","grasslandintensiv","Ni",15.4.2004 00:00:00,2004,"4",44.10,"mg_kg_dm",
"1_1","grasslandintensiv","Ni",18.3.2009 00:00:00,2009,"5",43.86,"mg_kg_dm",
"1_1","grasslandintensiv","Pb",17.10.1989 00:00:00,1989,"1",23.16,"mg_kg_dm",
"1_1","grasslandintensiv","Pb",13.9.1994 00:00:00,1994,"2",23.74,"mg_kg_dm",
"1_1","grasslandintensiv","Pb",3.3.1999 00:00:00,1999,"3",22.09,"mg_kg_dm",
"1_1","grasslandintensiv","Pb",15.4.2004 00:00:00,2004,"4",23.24,"mg_kg_dm",
"1_1","grasslandintensiv","Pb",18.3.2009 00:00:00,2009,"5",22.25,"mg_kg_dm",
"1_1","grasslandintensiv","Zn",17.10.1989 00:00:00,1989,"1",72.54,"mg_kg_dm",
"1_1","grasslandintensiv","Zn",13.9.1994 00:00:00,1994,"2",74.58,"mg_kg_dm",
"1_1","grasslandintensiv","Zn",3.3.1999 00:00:00,1999,"3",76.93,"mg_kg_dm",
"1_1","grasslandintensiv","Zn",15.4.2004 00:00:00,2004,"4",80.70,"mg_kg_dm",
"1_1","grasslandintensiv","Zn",18.3.2009 00:00:00,2009,"5",82.07,"mg_kg_dm",
"2_1","mixedforest","Cd",13.9.1994 00:00:00,1994,"2",0.23,"mg_kg_dm",
"2_1","mixedforest","Cd",10.3.1999 00:00:00,1999,"3",0.26,"mg_kg_dm",
"2_1","mixedforest","Cd",23.9.2004 00:00:00,2004,"4",,"mg_kg_dm","beprobt, aber kein Messresultat verfügbar"
"2_1","mixedforest","Cd",27.5.2009 00:00:00,2009,"5",,"mg_kg_dm","beprobt, aber kein Messresultat verfügbar"
"2_1","mixedforest","Co",13.9.1994 00:00:00,1994,"2",8.57,"mg_kg_dm",
"2_1","mixedforest","Co",10.3.1999 00:00:00,1999,"3",8.44,"mg_kg_dm",
"2_1","mixedforest","Co",23.9.2004 00:00:00,2004,"4",8.31,"mg_kg_dm",
"2_1","mixedforest","Co",27.5.2009 00:00:00,2009,"5",8.25,"mg_kg_dm",
"2_1","mixedforest","Cr",13.9.1994 00:00:00,1994,"2",29.34,"mg_kg_dm",
"2_1","mixedforest","Cr",10.3.1999 00:00:00,1999,"3",28.38,"mg_kg_dm",
"2_1","mixedforest","Cr",23.9.2004 00:00:00,2004,"4",28.33,"mg_kg_dm",
"2_1","mixedforest","Cr",27.5.2009 00:00:00,2009,"5",28.67,"mg_kg_dm",
"2_1","mixedforest","Cu",13.9.1994 00:00:00,1994,"2",15.09,"mg_kg_dm",
"2_1","mixedforest","Cu",10.3.1999 00:00:00,1999,"3",14.42,"mg_kg_dm",
"2_1","mixedforest","Cu",23.9.2004 00:00:00,2004,"4",14.36,"mg_kg_dm",
"2_1","mixedforest","Cu",27.5.2009 00:00:00,2009,"5",14.54,"mg_kg_dm",
"2_1","mixedforest","Hg",13.9.1994 00:00:00,1994,"2",0.24,"mg_kg_dm",
"2_1","mixedforest","Hg",10.3.1999 00:00:00,1999,"3",0.16,"mg_kg_dm",
"2_1","mixedforest","Hg",23.9.2004 00:00:00,2004,"4",0.09,"mg_kg_dm",
"2_1","mixedforest","Hg",27.5.2009 00:00:00,2009,"5",0.08,"mg_kg_dm",
"2_1","mixedforest","Ni",13.9.1994 00:00:00,1994,"2",40.11,"mg_kg_dm",
"2_1","mixedforest","Ni",10.3.1999 00:00:00,1999,"3",38.62,"mg_kg_dm",
"2_1","mixedforest","Ni",23.9.2004 00:00:00,2004,"4",38.77,"mg_kg_dm",
"2_1","mixedforest","Ni",27.5.2009 00:00:00,2009,"5",39.24,"mg_kg_dm",
"2_1","mixedforest","Pb",13.9.1994 00:00:00,1994,"2",43.61,"mg_kg_dm",
"2_1","mixedforest","Pb",10.3.1999 00:00:00,1999,"3",42.33,"mg_kg_dm",
"2_1","mixedforest","Pb",23.9.2004 00:00:00,2004,"4",38.97,"mg_kg_dm",
"2_1","mixedforest","Pb",27.5.2009 00:00:00,2009,"5",37.41,"mg_kg_dm",
"2_1","mixedforest","Zn",13.9.1994 00:00:00,1994,"2",59.68,"mg_kg_dm",
"2_1","mixedforest","Zn",10.3.1999 00:00:00,1999,"3",57.84,"mg_kg_dm",
"2_1","mixedforest","Zn",23.9.2004 00:00:00,2004,"4",55.25,"mg_kg_dm",
"2_1","mixedforest","Zn",27.5.2009 00:00:00,2009,"5",55.95,"mg_kg_dm",
"3_1","cropcultivation","Cd",16.10.1985 00:00:00,1985,"1",0.16,"mg_kg_dm",
"3_1","cropcultivation","Cd",6.3.1990 00:00:00,1990,"2",0.15,"mg_kg_dm",
"3_1","cropcultivation","Cd",12.4.1995 00:00:00,1995,"3",0.15,"mg_kg_dm",
"3_1","cropcultivation","Cd",4.4.2000 00:00:00,2000,"4",,"mg_kg_dm","beprobt, aber kein Messresultat verfügbar"
"3_1","cropcultivation","Cd",31.5.2005 00:00:00,2005,"5",,"mg_kg_dm","beprobt, aber kein Messresultat verfügbar"
"3_1","cropcultivation","Co",16.10.1985 00:00:00,1985,"1",4.75,"mg_kg_dm",
"3_1","cropcultivation","Co",6.3.1990 00:00:00,1990,"2",4.61,"mg_kg_dm",
"3_1","cropcultivation","Co",12.4.1995 00:00:00,1995,"3",4.60,"mg_kg_dm",
"3_1","cropcultivation","Co",4.4.2000 00:00:00,2000,"4",4.69,"mg_kg_dm",
"3_1","cropcultivation","Co",31.5.2005 00:00:00,2005,"5",4.65,"mg_kg_dm",
"3_1","cropcultivation","Cr",16.10.1985 00:00:00,1985,"1",20.83,"mg_kg_dm",
"3_1","cropcultivation","Cr",6.3.1990 00:00:00,1990,"2",20.53,"mg_kg_dm",
"3_1","cropcultivation","Cr",12.4.1995 00:00:00,1995,"3",20.96,"mg_kg_dm",
"3_1","cropcultivation","Cr",4.4.2000 00:00:00,2000,"4",19.68,"mg_kg_dm",
"3_1","cropcultivation","Cr",31.5.2005 00:00:00,2005,"5",19.52,"mg_kg_dm",
"3_1","cropcultivation","Cu",16.10.1985 00:00:00,1985,"1",18.10,"mg_kg_dm",
"3_1","cropcultivation","Cu",6.3.1990 00:00:00,1990,"2",18.96,"mg_kg_dm",
"3_1","cropcultivation","Cu",12.4.1995 00:00:00,1995,"3",19.36,"mg_kg_dm",
